# Per-cell
cell_idx,row,col,order,target_x_pt,target_y_pt,mean_dev_pt,mean_dev_deg,sd_pt,rms_pt,rms_deg,bias_pt,bias_deg,containment_pct,n_samples
0,0,0,14,-150.75,-291.75,31.97,1.442,31.45,31.45,1.419,19.10,0.861,94.87,39
1,0,1,6,-50.25,-291.75,30.10,1.358,31.77,31.77,1.433,11.90,0.537,100.00,34
2,0,2,5,50.25,-291.75,29.99,1.353,18.14,18.14,0.818,26.73,1.206,97.37,38
3,0,3,4,150.75,-291.75,55.20,2.490,27.41,27.41,1.236,51.39,2.318,83.33,36
4,1,0,12,-150.75,-97.25,29.88,1.348,26.07,26.07,1.176,22.30,1.006,94.12,34
5,1,1,3,-50.25,-97.25,18.75,0.846,18.68,18.68,0.843,9.62,0.434,100.00,34
6,1,2,9,50.25,-97.25,21.40,0.965,16.73,16.73,0.755,15.81,0.713,100.00,37
7,1,3,13,150.75,-97.25,47.99,2.165,27.70,27.70,1.250,43.04,1.942,100.00,38
8,2,0,7,-150.75,97.25,32.65,1.473,18.60,18.60,0.839,29.68,1.339,97.30,37
9,2,1,10,-50.25,97.25,44.77,2.020,25.40,25.40,1.146,40.77,1.839,97.50,40
10,2,2,11,50.25,97.25,63.97,2.886,23.85,23.85,1.076,61.51,2.775,100.00,37
11,2,3,2,150.75,97.25,25.62,1.156,14.90,14.90,0.672,23.13,1.043,100.00,34
12,3,0,1,-150.75,291.75,114.77,5.177,32.88,32.88,1.483,112.64,5.081,25.00,36
13,3,1,15,-50.25,291.75,103.79,4.682,23.06,23.06,1.040,102.67,4.631,38.89,36
14,3,2,16,50.25,291.75,89.56,4.040,23.54,23.54,1.062,88.10,3.974,76.32,38
15,3,3,8,150.75,291.75,89.93,4.057,26.70,26.70,1.205,87.58,3.951,64.10,39

# Samples
cell_idx,order,t_s,pred_x_pt,pred_y_pt,dev_x_pt,dev_y_pt,dev_pt,head_yaw_deg,head_pitch_deg,head_roll_deg
0,14,1.0000,-186.21,-268.18,-35.46,23.57,42.57,-179.034,3.899,-178.991
0,14,1.1085,-172.34,-299.42,-21.59,-7.67,22.91,-178.968,3.625,-177.451
0,14,1.2169,-164.22,-257.42,-13.47,34.33,36.88,-178.526,3.497,-178.903
0,14,1.3254,-216.99,-237.88,-66.24,53.87,85.38,-178.694,3.982,-178.190
0,14,1.4338,-167.66,-246.41,-16.91,45.34,48.39,-178.417,4.081,-178.566
0,14,1.5423,-182.94,-239.22,-32.19,52.53,61.61,-178.386,2.850,-178.356
0,14,1.6508,-162.22,-294.97,-11.47,-3.22,11.91,-178.598,4.035,-178.784
0,14,1.7592,-128.71,-290.99,22.04,0.76,22.05,-178.609,3.936,-178.652
0,14,1.8677,-198.37,-299.69,-47.62,-7.94,48.27,-178.668,3.719,-178.508
0,14,1.9761,-132.11,-282.72,18.64,9.03,20.71,-178.233,3.765,-178.248
0,14,2.0846,-166.58,-285.80,-15.83,5.95,16.91,-178.186,3.885,-178.770
0,14,2.1931,-178.31,-284.98,-27.56,6.77,28.38,-179.009,4.292,-178.604
0,14,2.3015,-153.08,-269.45,-2.33,22.30,22.42,-178.490,4.041,-178.539
0,14,2.4100,-144.88,-292.33,5.87,-0.58,5.90,-178.820,3.639,-178.655
0,14,2.5184,-136.80,-245.62,13.95,46.13,48.20,-178.162,3.281,-179.017
0,14,2.6269,-154.33,-285.12,-3.58,6.63,7.54,-178.608,4.075,-178.441
0,14,2.7354,-165.32,-277.17,-14.57,14.58,20.62,-179.060,3.865,-178.410
0,14,2.8438,-148.62,-283.82,2.13,7.93,8.21,-178.438,4.076,-178.221
0,14,2.9523,-191.55,-298.88,-40.80,-7.13,41.41,-178.003,4.242,-178.648
0,14,3.0607,-186.50,-287.93,-35.75,3.82,35.95,-178.248,3.929,-178.658
0,14,3.1692,-160.03,-310.91,-9.28,-19.16,21.29,-179.361,3.861,-178.796
0,14,3.2777,-154.70,-275.76,-3.95,15.99,16.47,-178.010,3.584,-178.929
0,14,3.3861,-205.83,-253.61,-55.08,38.14,66.99,-179.004,3.878,-178.469
0,14,3.4946,-162.16,-304.99,-11.41,-13.24,17.48,-178.777,3.540,-178.942
0,14,3.6030,-166.29,-266.63,-15.54,25.12,29.54,-178.345,3.755,-178.480
0,14,3.7115,-130.74,-317.44,20.01,-25.69,32.56,-178.281,4.135,-178.893
0,14,3.8200,-200.51,-302.08,-49.76,-10.33,50.82,-179.155,3.494,-178.697
0,14,3.9284,-154.29,-327.85,-3.54,-36.10,36.27,-179.222,3.697,-178.538
0,14,4.0369,-182.37,-286.87,-31.62,4.88,32.00,-177.926,3.541,-178.892
0,14,4.1453,-144.83,-287.85,5.92,3.90,7.08,-178.462,3.439,-178.665
0,14,4.2538,-171.40,-326.80,-20.65,-35.05,40.68,-178.616,3.795,-178.252
0,14,4.3623,-136.19,-299.33,14.56,-7.58,16.42,-178.565,4.060,-178.529
0,14,4.4707,-198.61,-290.17,-47.86,1.58,47.89,-178.243,3.917,-179.116
0,14,4.5792,-198.08,-260.89,-47.33,30.86,56.50,-178.472,3.570,-178.700
0,14,4.6876,-140.68,-279.67,10.07,12.08,15.73,-178.722,3.576,-178.755
0,14,4.7961,-187.00,-289.70,-36.25,2.05,36.31,-179.115,4.115,-178.328
0,14,4.9046,-186.48,-300.33,-35.73,-8.58,36.75,-178.879,3.980,-178.579
0,14,5.0130,-153.51,-295.87,-2.76,-4.12,4.96,-179.321,3.988,-178.505
0,14,5.1215,-184.58,-262.53,-33.83,29.22,44.70,-178.213,3.563,-178.381
1,6,1.0000,-49.44,-269.76,0.81,21.99,22.00,-178.731,3.996,-177.995
1,6,1.1085,-76.46,-296.21,-26.21,-4.46,26.59,-178.600,4.199,-178.778
1,6,1.2169,-57.51,-266.36,-7.26,25.39,26.41,-178.293,3.557,-178.295
1,6,1.3254,-12.40,-273.79,37.85,17.96,41.90,-178.499,3.740,-178.508
1,6,1.4338,-71.85,-276.78,-21.60,14.97,26.28,-179.339,3.618,-178.007
1,6,1.5423,-49.59,-317.68,0.66,-25.93,25.94,-178.607,3.983,-178.616
1,6,1.6508,-40.23,-293.76,10.02,-2.01,10.22,-178.919,4.149,-178.745
1,6,1.7592,-66.40,-301.72,-16.15,-9.97,18.98,-178.644,3.724,-178.255
1,6,1.8677,-53.62,-294.48,-3.37,-2.73,4.34,-179.165,4.026,-178.175
1,6,1.9761,-35.56,-306.93,14.69,-15.18,21.13,-178.526,4.244,-177.914
1,6,2.0846,-44.60,-306.16,5.65,-14.41,15.47,-178.070,3.945,-178.017
1,6,2.1931,-48.10,-302.68,2.15,-10.93,11.14,-178.873,3.794,-179.046
1,6,2.3015,-15.05,-278.92,35.20,12.83,37.47,-178.832,4.414,-177.992
1,6,2.4100,-62.51,-272.32,-12.26,19.43,22.98,-178.266,3.575,-178.090
1,6,2.5184,-42.10,-313.84,8.15,-22.09,23.55,-178.519,3.992,-177.978
1,6,2.6269,-59.99,-272.32,-9.74,19.43,21.73,-179.078,4.138,-178.357
1,6,2.7354,-24.66,-257.74,25.59,34.01,42.56,-177.943,3.607,-178.780
1,6,2.8438,-79.70,-249.24,-29.45,42.51,51.71,-178.466,4.012,-178.639
1,6,2.9523,-7.93,-290.82,42.32,0.93,42.33,-178.449,3.903,-178.952
1,6,3.0607,-53.15,-290.36,-2.90,1.39,3.21,-178.604,3.480,-178.340
1,6,3.1692,-90.05,-288.73,-39.80,3.02,39.91,-178.908,3.763,-178.930
1,6,3.2777,-57.96,-315.54,-7.71,-23.79,25.01,-179.124,4.308,-178.550
1,6,3.3861,-45.79,-271.80,4.46,19.95,20.44,-178.244,3.798,-178.799
1,6,3.4946,-33.82,-230.78,16.43,60.97,63.14,-178.239,3.262,-178.699
1,6,3.6030,-45.00,-233.45,5.25,58.30,58.54,-178.999,3.892,-179.486
1,6,3.7115,-51.59,-236.54,-1.34,55.21,55.23,-178.829,3.923,-179.103
1,6,3.8200,-17.88,-272.74,32.37,19.01,37.54,-178.096,4.407,-178.685
1,6,3.9284,-49.94,-282.92,0.31,8.83,8.84,-178.922,3.792,-178.904
1,6,4.0369,-74.00,-318.62,-23.75,-26.87,35.86,-179.179,4.291,-178.078
1,6,4.1453,-34.01,-276.07,16.24,15.68,22.58,-178.792,3.686,-178.598
1,6,4.2538,-60.07,-231.30,-9.82,60.45,61.24,-178.430,3.998,-178.464
1,6,4.3623,-28.89,-278.61,21.36,13.14,25.07,-179.023,3.577,-177.900
1,6,4.4707,-81.39,-261.60,-31.14,30.15,43.35,-178.900,3.642,-178.458
1,6,4.5792,-80.20,-284.29,-29.95,7.46,30.87,-178.521,3.368,-178.091
2,5,1.0000,18.20,-311.40,-32.05,-19.65,37.60,-178.674,4.666,-178.172
2,5,1.1085,22.19,-292.88,-28.06,-1.13,28.08,-178.213,3.659,-178.246
2,5,1.2169,-1.12,-296.79,-51.37,-5.04,51.62,-178.942,3.360,-178.182
2,5,1.3254,40.88,-288.51,-9.37,3.24,9.91,-178.127,4.065,-178.619
2,5,1.4338,44.77,-282.34,-5.48,9.41,10.89,-178.248,3.659,-178.503
2,5,1.5423,47.24,-292.06,-3.01,-0.31,3.03,-178.472,3.674,-178.154
2,5,1.6508,11.50,-313.96,-38.75,-22.21,44.67,-178.329,4.178,-178.558
2,5,1.7592,24.73,-309.55,-25.52,-17.80,31.11,-178.719,4.351,-178.473
2,5,1.8677,12.47,-284.42,-37.78,7.33,38.49,-178.316,3.656,-178.165
2,5,1.9761,21.89,-319.37,-28.36,-27.62,39.59,-178.342,4.251,-178.205
2,5,2.0846,41.37,-276.07,-8.88,15.68,18.02,-178.599,3.375,-179.003
2,5,2.1931,34.00,-298.09,-16.25,-6.34,17.44,-178.865,3.973,-179.022
