Session,Selections,Correct,Clears,Completed,Accuracy_P,Mean_s_per_selection,Selections_per_min,Bits_per_selection,ITR_bits_per_min,Words_per_min,ITR_ceiling_at_P1
S1,5,5,0,1,1.0,3.906,15.36,3.585,55.07,14.12,55.07
S2,5,5,0,1,1.0,3.091,19.41,3.585,69.6,16.25,69.6
S3,7,5,1,1,0.7143,3.843,15.61,1.733,27.06,10.33,55.97
S4,6,5,0,1,0.8333,3.049,19.68,2.358,46.41,14.06,70.55
S5,6,5,0,1,0.8333,3.869,15.51,2.358,36.58,11.84,55.6
S6,6,5,0,1,0.8333,4.309,13.93,2.358,32.84,10.7,49.92
S7,7,5,1,1,0.7143,3.664,16.37,1.733,28.38,10.57,58.7
S8,7,5,0,1,0.7143,2.975,20.17,1.733,34.96,12.81,72.31
S9,7,5,1,1,0.7143,3.302,18.17,1.733,31.5,11.49,65.14
S10,7,4,0,0,0.5714,4.155,14.44,1.117,16.13,7.69,51.77
S11,7,5,0,1,0.7143,3.269,18.35,1.733,31.82,12.21,65.8
S12,9,4,1,0,0.4444,3.536,16.97,0.672,11.4,7.17,60.83
S13,6,5,0,1,0.8333,3.596,16.69,2.358,39.35,12.81,59.82
S14,6,5,0,1,0.8333,3.441,17.44,2.358,41.13,13.16,62.52
S15,8,5,1,1,0.625,4.287,13.99,1.333,18.66,8.12,50.17
POOLED,99,73,5,13,0.7374,3.628,16.54,1.846,30.53,11.56,59.29
