=== Run 1 — communication — 2026-09-22T18:05:23Z ===
selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,7,I,1,0,1.961,1.961,173.38,442.68
2,5,want,1,1,4.887,2.926,354.27,314.17
3,3,home,0,-1,6.683,1.796,68.45,341.43
4,3,home,0,-1,9.968,3.285,59.30,324.71
5,6,to,1,2,13.037,3.069,79.17,463.25
6,0,drink,1,3,17.273,4.236,66.33,170.05
7,8,water,1,4,20.823,3.550,330.58,489.03

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,drink,1,0.00,96.00,134.00,245.50
1,0,1,more,0,134.00,96.00,268.00,245.50
2,0,2,eat,0,268.00,96.00,402.00,245.50
3,1,0,home,0,0.00,245.50,134.00,395.00
4,1,1,stop,0,134.00,245.50,268.00,395.00
5,1,2,want,1,268.00,245.50,402.00,395.00
6,2,0,to,1,0.00,395.00,134.00,544.50
7,2,1,I,1,134.00,395.00,268.00,544.50
8,2,2,water,1,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,please,0,134.00,544.50,268.00,694.00
11,3,2,sleep,0,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
1,"I want to drink water","I want home home to drink water",7,5,2,71.43,3.346,4.685,12.81,23.43,1130.15,402.00,778.00
