t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0000,1,6,2,0,67.00,469.75,active,129.24,446.25,66.53,1,-176.000,4.309,-177.546,-8.79,34.86,131.42,-9.89,5.89,155.10,61.018,60.705,-29.5070,-8.2592,124.21,422.46,-30.9486,-7.8104,129.24,446.25,0.26702,0
0.1141,1,4,1,1,201.00,320.25,active,238.77,382.16,72.52,1,-174.089,4.022,-178.107,-11.04,35.12,129.38,-9.80,6.68,154.20,60.948,60.762,-29.4990,1.3915,240.53,384.03,-28.8246,0.0860,238.77,382.16,0.27597,0
0.2036,1,5,1,2,335.00,320.25,active,295.21,265.04,68.05,1,-174.839,4.163,-178.756,-9.45,34.82,132.15,-7.63,2.59,153.22,59.753,59.579,-23.8747,4.0949,296.10,263.85,-25.3415,2.3989,295.21,265.04,0.25841,0
0.3082,1,5,1,2,335.00,320.25,active,309.44,357.77,45.40,1,-174.535,4.605,-178.663,-10.92,35.91,133.02,-10.94,4.63,156.55,60.973,60.964,-28.2474,7.4144,308.09,375.31,-28.5137,3.3261,309.44,357.77,0.25591,0
0.4030,1,5,1,2,335.00,320.25,active,316.24,270.71,52.97,1,-175.075,4.955,-178.401,-10.54,36.61,131.75,-8.65,4.67,155.48,61.089,60.509,-23.3569,3.1840,320.01,261.94,-25.2584,3.8896,316.24,270.71,0.25960,0
0.5179,1,5,1,2,335.00,320.25,active,330.00,375.92,55.90,1,-174.124,5.350,-178.101,-5.14,35.27,131.00,-11.08,4.49,155.77,62.177,61.748,-28.1901,4.9659,365.49,390.40,-28.3895,4.8939,330.00,375.92,0.25720,0
0.6029,1,4,1,1,201.00,320.25,active,255.22,342.20,58.49,1,-174.589,4.708,-178.048,-10.36,35.45,131.01,-12.38,4.17,156.25,61.080,60.858,-27.5189,0.3615,270.81,337.10,-27.6641,-0.2278,255.22,342.20,0.27563,0
0.7032,1,5,1,2,335.00,320.25,active,291.36,324.12,43.81,1,-175.910,5.047,-177.931,-10.43,34.82,130.67,-9.74,5.43,155.70,60.013,60.727,-29.8768,1.5006,277.56,307.58,-27.1056,2.9790,291.36,324.12,0.26041,0
0.8002,1,4,1,1,201.00,320.25,active,239.84,335.42,41.70,1,-174.806,3.971,-178.423,-8.08,36.09,129.36,-9.71,6.01,155.11,60.925,60.314,-26.3224,-5.3156,236.49,349.10,-27.4133,-0.8372,239.84,335.42,0.26198,0
0.8913,1,5,1,2,335.00,320.25,active,294.83,332.60,42.03,1,-174.836,4.849,-178.433,-9.66,36.46,130.90,-10.92,4.63,156.27,60.708,60.269,-27.0999,7.2051,280.64,354.11,-27.3868,3.0326,294.83,332.60,0.27613,0
0.9628,1,4,1,1,201.00,320.25,active,256.88,321.65,55.90,1,-174.010,5.047,-178.575,-11.70,37.08,129.91,-9.06,3.60,154.51,61.100,59.832,-28.8578,-3.0294,286.78,312.51,-27.6826,0.5739,256.88,321.65,0.26364,0
1.0632,1,4,1,1,201.00,320.25,active,224.48,322.56,23.59,1,-174.448,4.795,-178.082,-8.98,35.38,130.79,-11.11,5.56,156.04,60.423,60.282,-29.5451,-0.8452,213.36,270.36,-27.4391,-1.2289,224.48,322.56,0.27090,0
1.1615,1,4,1,1,201.00,320.25,active,201.69,329.02,8.79,1,-174.605,4.651,-178.029,-8.61,33.94,130.78,-12.03,4.33,154.92,61.417,60.597,-26.2571,-0.2093,212.09,313.32,-27.0462,-4.2749,201.69,329.02,0.26225,0
1.2856,1,4,1,1,201.00,320.25,active,196.41,329.66,10.47,1,-174.705,5.221,-178.663,-8.93,36.02,132.31,-10.32,5.85,154.83,60.610,60.196,-28.3610,0.8125,202.72,335.34,-27.5351,-2.6010,196.41,329.66,0.26978,0
1.3887,1,4,1,1,201.00,320.25,active,183.34,318.23,17.77,1,-175.579,4.333,-178.413,-6.73,35.58,130.37,-11.57,6.17,155.18,61.634,60.912,-25.7753,-4.1339,188.69,330.09,-27.0238,-4.1531,183.34,318.23,0.27034,0
1.4890,1,4,1,1,201.00,320.25,active,196.11,392.21,72.12,1,-175.489,4.291,-178.148,-9.50,35.69,131.37,-8.14,5.50,155.75,63.055,60.423,-28.3834,-3.3878,226.40,375.88,-29.8561,-3.0583,196.11,392.21,0.27431,0
1.5677,1,4,1,1,201.00,320.25,active,195.33,357.69,37.87,1,-175.935,4.808,-178.325,-9.08,36.16,128.75,-8.48,6.60,155.83,61.434,59.615,-25.8566,-0.2034,194.44,359.68,-27.6517,-3.3727,195.33,357.69,0.24350,0
1.6619,1,5,1,2,335.00,320.25,active,273.66,257.13,88.02,1,-174.341,4.350,-178.224,-8.13,35.84,131.88,-11.61,5.42,154.11,60.653,59.710,-24.4625,0.2732,283.50,261.38,-24.6301,1.4164,273.66,257.13,0.24272,0
1.7320,1,2,0,2,335.00,170.75,active,319.19,214.31,46.34,1,-173.893,4.412,-178.272,-7.83,36.38,131.32,-9.62,5.64,155.27,61.165,60.923,-24.5789,3.1680,297.01,261.35,-23.7490,3.7076,319.19,214.31,0.23148,0
