selection,cell_idx,word,correct,target_pos,at_s,since_prev_s,pred_x,pred_y
1,0,I,1,0,1.828,1.828,51.85,119.81
2,8,want,1,1,9.001,7.173,314.55,506.70
3,1,to,1,2,13.257,4.256,197.79,203.55
4,7,drink,1,3,16.807,3.550,205.76,488.89
5,6,more,0,-1,22.278,5.471,68.15,476.64
6,6,more,0,-1,26.060,3.782,47.04,438.22
7,4,home,0,-1,29.082,3.022,198.32,372.53

# Grid layout
cell_idx,row,col,word,is_target_word,x_min,y_min,x_max,y_max
0,0,0,I,1,0.00,96.00,134.00,245.50
1,0,1,to,1,134.00,96.00,268.00,245.50
2,0,2,water,1,268.00,96.00,402.00,245.50
3,1,0,eat,0,0.00,245.50,134.00,395.00
4,1,1,home,0,134.00,245.50,268.00,395.00
5,1,2,stop,0,268.00,245.50,402.00,395.00
6,2,0,more,0,0.00,395.00,134.00,544.50
7,2,1,drink,1,134.00,395.00,268.00,544.50
8,2,2,want,1,268.00,395.00,402.00,544.50
9,3,0,Clear,0,0.00,544.50,134.00,694.00
10,3,1,sleep,0,134.00,544.50,268.00,694.00
11,3,2,please,0,268.00,544.50,402.00,694.00

# Overall
completed,target_sentence,composed_sentence,n_selections,correct,incorrect,selection_accuracy_pct,mean_s_per_selection,mean_s_per_correct_word,words_per_min,duration_s,tz_points,screen_w_pt,screen_h_pt
0,"I want to drink water","I want to drink more more home",7,4,3,57.14,4.458,7.801,7.69,31.21,1132.24,402.00,778.00
