t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0519,1,45,5,0,22.33,475.44,dwell,139.67,282.22,226.06,0,178.710,7.075,179.613,-18.57,22.72,147.63,-18.23,-6.35,173.93,53.604,53.529,-19.5378,-6.4143,139.67,282.22,-19.5378,-6.4143,,,0.21505,0
0.1449,1,45,5,0,22.33,475.44,dwell,138.26,264.44,240.75,0,178.631,7.292,179.641,-18.53,22.55,147.58,-17.81,-6.63,173.95,53.602,53.615,-20.4974,-6.6106,138.26,264.44,-19.9696,-6.5026,,,0.17818,0
0.2391,1,45,5,0,22.33,475.44,dwell,146.21,154.47,344.05,0,178.608,7.375,179.657,-18.53,22.33,147.65,-18.08,-6.06,173.88,53.751,53.716,-16.3696,-6.3614,146.21,154.47,-18.3496,-6.4391,,,0.20513,0
0.3244,1,45,5,0,22.33,475.44,dwell,28.22,214.71,260.80,0,178.594,7.405,179.666,-18.58,22.42,147.90,-18.21,-6.69,174.72,53.765,54.175,-17.8925,-11.3638,28.22,214.71,-18.1439,-8.6552,,,0.22851,0
0.4216,1,45,5,0,22.33,475.44,dwell,13.33,304.59,171.09,0,178.600,7.479,179.700,-18.58,22.16,147.75,-18.80,-6.38,174.40,53.728,54.128,-22.1779,-12.0051,13.33,304.59,-19.9592,-10.1627,,,0.20071,0
0.5093,1,45,5,0,22.33,475.44,dwell,128.06,324.54,184.26,0,178.575,7.556,179.704,-18.59,22.03,147.72,-18.00,-6.14,173.82,53.743,54.384,-23.2120,-6.4763,128.06,324.54,-21.4230,-8.5038,,,0.19820,0
0.6168,1,45,5,0,22.33,475.44,dwell,112.52,202.38,287.57,0,178.544,7.412,179.732,-18.50,22.04,147.71,-18.27,-6.97,174.15,54.050,54.750,-17.6430,-7.3140,112.52,202.38,-19.7220,-7.9684,,,0.21516,0
0.7021,1,45,5,0,22.33,475.44,dwell,58.32,173.11,304.47,0,178.636,7.482,179.746,-18.51,21.93,147.45,-18.14,-6.44,173.79,54.100,54.565,-17.0798,-9.9990,58.32,173.11,-18.5330,-8.8822,,,0.24232,0
0.8115,1,45,5,0,22.33,475.44,dwell,-27.86,221.45,258.91,0,178.662,7.613,179.792,-18.62,21.71,147.37,-18.14,-6.47,173.42,53.762,54.322,-18.6222,-14.0932,-27.86,221.45,-18.5731,-11.2271,,,0.20763,0
0.9075,1,45,5,0,22.33,475.44,dwell,3.72,167.41,308.60,0,178.750,7.632,179.802,-18.55,21.59,147.31,-18.27,-7.00,173.71,53.518,53.794,-16.6233,-12.9270,3.72,167.41,-17.6957,-11.9920,,,0.21087,0
