t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0268,1,1,0,1,150.75,97.25,dwell,104.17,381.88,288.42,0,-172.332,3.942,-177.293,-13.93,33.58,145.34,-15.23,2.91,169.12,55.196,55.197,-31.5854,-1.4119,104.17,381.88,-31.0983,-0.1209,,,0.25538,0
0.1482,1,1,0,1,150.75,97.25,dwell,140.68,329.02,231.99,0,-172.381,3.972,-177.198,-13.29,33.82,145.39,-14.61,3.32,169.39,55.277,55.144,-29.8509,0.4791,140.68,329.02,-30.4724,0.1837,,,0.25761,0
0.2483,1,1,0,1,150.75,97.25,dwell,142.92,274.87,177.79,0,-172.232,4.026,-177.182,-12.53,33.57,145.79,-14.10,3.10,169.82,54.595,55.044,-27.9625,0.7501,142.92,274.87,-29.3627,0.4280,,,0.25406,0
0.3491,1,1,0,1,150.75,97.25,dwell,141.46,324.05,226.99,0,-172.334,4.114,-177.137,-11.80,34.40,146.40,-13.10,4.01,170.54,54.445,54.888,-29.8509,1.0972,141.46,324.05,-29.5761,0.7183,,,0.25090,0
0.4489,1,1,0,1,150.75,97.25,dwell,148.84,179.44,82.22,1,-172.245,4.229,-177.000,-10.00,34.63,145.43,-11.31,4.29,169.64,54.435,54.226,-25.0389,1.9164,148.84,179.44,-27.5209,1.2403,,,0.26332,0
0.5603,1,1,0,1,150.75,97.25,dwell,140.92,110.01,16.10,1,-172.690,4.123,-176.938,-9.42,35.47,144.46,-10.20,4.95,168.45,55.446,55.264,-22.8708,1.7214,140.92,110.01,-25.3650,1.4494,,,0.27193,0
0.6768,1,1,0,1,150.75,97.25,dwell,154.91,62.00,35.49,1,-173.042,3.794,-176.721,-8.99,34.99,142.43,-9.53,4.21,166.10,56.488,56.503,-20.8005,2.5389,154.91,62.00,-22.9011,2.0053,,,0.28023,0
0.7771,1,1,0,1,150.75,97.25,dwell,115.69,78.10,39.95,1,-173.233,3.769,-176.600,-8.65,34.65,142.67,-9.16,4.05,166.57,55.960,56.184,-21.4999,0.9258,115.69,78.10,-22.2597,1.5432,,,0.28243,0
0.8778,1,1,0,1,150.75,97.25,dwell,128.22,72.60,33.39,1,-173.294,3.643,-176.579,-8.42,34.56,142.29,-9.09,3.81,166.01,56.268,56.429,-21.1782,1.5894,128.22,72.60,-21.7675,1.5632,,,0.28735,0
0.9798,1,1,0,1,150.75,97.25,dwell,107.26,84.70,45.26,1,-173.475,3.570,-176.574,-8.62,34.25,142.11,-9.14,3.53,165.85,56.229,56.616,-21.6398,0.5691,107.26,84.70,-21.7106,1.1308,,,0.28715,0
1.0888,1,1,0,1,150.75,97.25,capture,119.79,58.78,49.39,1,-173.554,3.242,-176.521,-8.51,34.45,142.05,-8.98,3.39,165.35,56.197,56.598,-20.6186,1.1689,119.79,58.78,-21.2264,1.1472,,,0.29196,0
1.2036,1,1,0,1,150.75,97.25,capture,120.44,68.41,41.84,1,-173.735,2.959,-176.510,-8.74,34.17,142.10,-9.14,3.09,165.37,56.387,56.560,-20.8564,1.1479,120.44,68.41,-21.0382,1.1476,,,0.28312,0
1.3033,1,1,0,1,150.75,97.25,capture,120.94,67.77,41.92,1,-173.540,2.895,-176.516,-8.44,34.06,142.29,-9.19,3.04,165.65,56.655,56.510,-20.7725,1.2476,120.94,67.77,-20.9230,1.1903,,,0.28962,0
1.4040,1,1,0,1,150.75,97.25,capture,126.66,83.63,27.67,1,-173.871,2.855,-176.604,-8.95,33.69,141.16,-9.31,2.72,164.58,56.232,56.473,-21.2481,1.3271,126.66,83.63,-21.0634,1.2490,,,0.28780,0
1.5066,1,1,0,1,150.75,97.25,capture,106.96,85.11,45.44,1,-173.976,2.848,-176.608,-8.65,33.64,141.39,-9.06,2.68,164.83,56.688,57.005,-21.3740,0.5237,106.96,85.11,-21.1975,0.9338,,,0.29377,0
1.6188,1,1,0,1,150.75,97.25,capture,116.00,85.03,36.83,1,-173.796,2.985,-176.531,-8.07,33.59,141.61,-8.63,2.78,165.25,56.289,56.774,-21.3041,1.1855,116.00,85.03,-21.2438,1.0432,,,0.28940,0
1.7388,1,1,0,1,150.75,97.25,capture,135.30,72.32,29.33,1,-174.279,2.862,-176.579,-8.89,33.40,140.76,-9.00,2.40,164.15,57.035,57.392,-20.6746,1.7835,135.30,72.32,-20.9556,1.4184,,,0.28661,0
