t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0317,1,0,0,0,67.00,129.67,dwell,204.07,288.40,209.72,0,179.838,5.798,-179.734,-13.72,28.40,144.69,-13.60,-0.76,169.27,55.551,56.333,-22.6607,-2.6504,204.07,288.40,-22.6607,-2.6504,,,0.24343,0
0.1323,1,0,0,0,67.00,129.67,dwell,180.44,333.65,233.41,0,-179.472,5.655,-179.259,-13.75,28.34,144.97,-13.85,-0.97,169.86,55.503,56.069,-23.5093,-3.7434,180.44,333.65,-23.1673,-3.3370,,,0.24091,0
0.2318,1,0,0,0,67.00,129.67,dwell,159.14,259.21,158.97,0,-179.861,5.459,-179.703,-13.67,28.29,144.73,-13.60,-1.02,169.47,55.015,56.533,-22.1408,-3.9807,159.14,259.21,-22.6119,-3.7558,,,0.23409,0
0.3314,1,0,0,0,67.00,129.67,dwell,148.74,249.34,144.92,0,-179.576,5.549,179.966,-13.62,28.30,144.61,-13.74,-0.71,169.25,55.817,57.206,-21.3991,-4.8821,148.74,249.34,-21.7979,-4.5497,,,0.18888,0
0.4320,1,0,0,0,67.00,129.67,dwell,137.88,220.23,115.00,0,179.678,5.527,179.617,-13.62,28.30,144.31,-14.01,-0.80,168.90,55.381,56.283,-20.2134,-5.9998,137.88,220.23,-20.6190,-5.6379,,,0.21600,0
0.5328,1,0,0,0,67.00,129.67,dwell,121.43,163.17,63.92,1,-179.841,5.603,-179.664,-13.61,28.31,144.28,-13.62,-0.93,168.75,56.604,56.959,-18.0565,-5.7846,121.43,163.17,-18.5434,-5.7397,,,0.21730,0
0.6295,1,0,0,0,67.00,129.67,dwell,121.66,194.69,84.94,1,179.925,5.637,-179.814,-13.59,28.37,144.48,-13.67,-0.70,169.06,55.986,56.083,-19.2793,-5.6660,121.66,194.69,-19.0499,-5.6947,,,0.23875,0
0.7270,1,0,0,0,67.00,129.67,dwell,102.22,113.40,38.79,1,179.730,5.613,-179.573,-13.66,28.32,144.33,-13.38,-1.00,168.93,57.115,56.362,-16.5919,-7.3506,102.22,113.40,-17.1134,-6.8959,,,0.25153,0
0.8288,1,0,0,0,67.00,129.67,dwell,93.37,103.86,36.90,1,-179.876,5.556,179.864,-13.53,28.35,144.41,-13.51,-0.68,169.01,56.022,56.692,-16.0511,-7.8091,93.37,103.86,-16.2832,-7.5666,,,0.22374,0
0.9266,1,0,0,0,67.00,129.67,dwell,60.12,132.97,7.63,1,-179.748,5.548,179.871,-13.44,28.40,144.57,-13.40,-0.65,169.27,55.468,56.851,-17.0862,-9.1426,60.12,132.97,-16.7927,-8.7714,,,0.22967,0
1.0271,1,0,0,0,67.00,129.67,capture,81.72,138.98,17.42,1,179.985,5.495,-179.469,-13.54,28.40,144.22,-13.67,-0.74,168.63,55.398,57.576,-17.0450,-8.5716,81.72,138.98,-16.9288,-8.6347,,,0.23246,0
1.1270,1,0,0,0,67.00,129.67,capture,86.11,112.38,25.76,1,-179.593,5.517,-179.923,-13.54,28.37,143.88,-13.46,-0.73,168.35,55.875,56.181,-15.3797,-7.6076,86.11,112.38,-15.8463,-8.1900,,,0.23764,0
1.2304,1,0,0,0,67.00,129.67,capture,85.20,114.79,23.51,1,179.984,5.480,-179.822,-13.59,28.40,144.51,-13.63,-0.73,169.16,54.991,56.210,-16.0661,-8.6528,85.20,114.79,-15.9806,-8.4399,,,0.23662,0
1.3315,1,0,0,0,67.00,129.67,capture,80.17,89.56,42.21,1,-179.795,5.610,179.716,-13.55,28.40,144.35,-13.69,-0.66,169.05,55.791,56.499,-15.3150,-8.0254,80.17,89.56,-15.5523,-8.2458,,,0.23581,0
1.4314,1,0,0,0,67.00,129.67,capture,56.74,101.46,30.01,1,-179.630,5.676,179.850,-13.59,28.37,144.30,-13.58,-0.74,169.09,54.912,56.451,-15.5710,-9.9353,56.74,101.46,-15.5631,-9.3928,,,0.22609,0
1.5332,1,0,0,0,67.00,129.67,capture,69.35,113.23,16.60,1,179.624,5.668,-179.471,-13.59,28.33,144.40,-13.54,-0.85,169.12,55.652,56.880,-16.2688,-9.7223,69.35,113.23,-15.9141,-9.6085,,,0.23881,0
1.6334,1,0,0,0,67.00,129.67,capture,71.94,97.31,32.74,1,-179.319,5.678,179.891,-13.63,28.36,144.22,-13.64,-0.75,168.73,55.942,57.188,-15.8457,-8.9846,71.94,97.31,-15.8830,-9.3118,,,0.22988,0
1.7319,1,0,0,0,67.00,129.67,capture,70.13,125.76,5.01,1,-179.715,5.589,179.792,-13.71,28.33,144.71,-13.81,-0.87,169.32,54.970,56.369,-16.9681,-9.1114,70.13,125.76,-16.5664,-9.2216,,,0.24125,0
1.8342,1,0,0,0,67.00,129.67,capture,49.19,113.52,24.04,1,179.583,5.682,179.688,-13.66,28.37,144.96,-13.57,-0.74,169.87,55.095,56.248,-17.2650,-9.9089,49.19,113.52,-17.0304,-9.6119,,,0.24653,0
1.9349,1,0,0,0,67.00,129.67,capture,56.09,90.87,40.30,1,179.757,5.710,179.582,-13.81,28.40,145.03,-13.84,-0.67,169.71,54.355,55.982,-14.5331,-8.9901,56.09,90.87,-15.3234,-9.3071,,,0.25576,0
2.0349,1,0,0,0,67.00,129.67,capture,69.90,132.68,4.18,1,-179.873,5.705,-179.680,-13.76,28.40,144.98,-13.78,-0.66,169.86,54.737,56.652,-16.6908,-9.0280,69.90,132.68,-16.0271,-9.1600,,,0.23830,0
2.1359,1,0,0,0,67.00,129.67,capture,74.36,79.06,51.14,1,-179.974,5.676,179.875,-13.72,28.39,145.25,-13.88,-0.75,169.88,55.138,55.813,-14.6010,-9.4120,74.36,79.06,-15.1122,-9.2696,,,0.22440,0
2.2340,1,0,0,0,67.00,129.67,capture,61.61,127.74,5.73,1,179.945,5.875,-179.884,-13.73,28.40,145.25,-13.76,-0.81,170.13,54.712,55.555,-17.1219,-9.8858,61.61,127.74,-16.4059,-9.6122,,,0.22314,0
2.3350,1,0,0,0,67.00,129.67,capture,62.87,92.06,37.84,1,-179.849,5.927,179.684,-13.73,28.40,145.65,-13.62,-0.73,170.66,55.717,56.610,-16.1282,-8.6843,62.87,92.06,-16.2546,-9.1002,,,0.23244,0
2.4347,1,0,0,0,67.00,129.67,capture,50.78,61.80,69.77,1,179.447,5.915,-179.979,-13.78,28.36,145.78,-13.74,-0.68,170.76,55.205,56.135,-13.1443,-9.7982,50.78,61.80,-13.8989,-9.4590,,,0.21456,0
2.5362,1,0,0,0,67.00,129.67,capture,72.38,101.23,28.94,1,179.998,5.970,179.672,-13.71,28.37,145.71,-13.64,-0.73,170.65,56.440,55.714,-16.0466,-8.3232,72.38,101.23,-15.0387,-8.7690,,,0.22217,0
2.6368,1,0,0,0,67.00,129.67,capture,71.02,70.09,59.71,1,-179.456,5.957,179.833,-13.78,28.33,145.92,-13.65,-0.86,170.87,54.223,55.964,-14.3743,-9.5981,71.02,70.09,-14.6904,-9.1814,,,0.21900,0
2.7370,1,0,0,0,67.00,129.67,capture,50.05,83.18,49.48,1,179.981,5.980,179.862,-13.68,28.28,146.27,-13.72,-0.99,171.46,55.117,54.652,-14.8864,-9.2244,50.05,83.18,-14.7774,-9.2021,,,0.19908,0
2.8349,1,0,0,0,67.00,129.67,capture,44.54,101.18,36.28,1,-179.782,5.952,179.956,-13.71,28.37,146.36,-13.79,-0.78,171.52,55.021,54.842,-15.5168,-10.2215,44.54,101.18,-15.1996,-9.8439,,,0.21350,0
2.9358,1,0,0,0,67.00,129.67,capture,69.17,99.61,30.14,1,179.798,5.928,-179.836,-13.64,28.37,146.75,-13.54,-0.90,171.88,53.387,53.945,-15.3961,-8.1583,69.17,99.61,-15.3108,-8.8085,,,0.22206,0
3.0341,2,5,1,2,335.00,389.00,dwell,59.68,126.78,380.21,0,179.476,5.820,179.920,-13.64,28.40,147.05,-13.62,-0.74,172.32,55.283,55.227,-16.0885,-9.7331,59.68,126.78,-15.8027,-9.2746,,,0.24494,0
3.1324,2,5,1,2,335.00,389.00,dwell,72.76,82.30,403.53,0,179.833,5.796,-179.895,-13.69,28.38,147.07,-13.58,-0.60,172.34,55.208,55.538,-14.6429,-8.2228,72.76,82.30,-15.1927,-8.6514,,,0.23182,0
3.2334,2,5,1,2,335.00,389.00,dwell,102.30,124.73,352.12,0,179.941,5.712,-179.589,-13.68,28.40,147.11,-13.75,-0.67,172.33,54.382,55.382,-16.0211,-7.0312,102.30,124.73,-15.6508,-7.4822,,,0.24699,0
3.3323,2,5,1,2,335.00,389.00,dwell,155.71,158.92,291.69,0,-179.955,5.703,-179.735,-13.72,28.40,147.25,-13.74,-1.00,172.58,54.327,55.362,-17.1261,-5.3764,155.71,158.92,-16.6758,-5.8316,,,0.25479,0
3.4304,2,5,1,2,335.00,389.00,dwell,203.94,176.17,249.95,0,179.568,5.609,179.766,-13.76,28.40,147.29,-13.70,-0.78,172.45,55.271,55.221,-18.3103,-1.8570,203.94,176.17,-17.9067,-2.4381,,,0.24122,0
3.5291,2,5,1,2,335.00,389.00,dwell,203.40,211.11,221.27,0,-179.755,5.591,-179.655,-13.75,28.40,147.15,-13.87,-0.78,172.47,55.079,54.230,-19.7942,-2.3732,203.40,211.11,-19.3983,-2.3862,,,0.22826,0
3.6279,2,5,1,2,335.00,389.00,dwell,249.84,191.24,215.31,0,179.509,5.681,179.485,-13.83,28.39,146.95,-13.83,-0.61,172.10,54.337,53.670,-18.4657,-0.6137,249.84,191.24,-18.7956,-0.9527,,,0.23407,0
3.7244,2,5,1,2,335.00,389.00,dwell,261.81,272.89,137.25,0,179.894,5.631,179.881,-13.90,28.38,147.17,-13.97,-0.86,172.66,55.009,54.486,-22.3969,0.6405,261.81,272.89,-21.7268,0.3323,,,0.22866,0
