t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0255,1,6,2,0,67.00,648.33,dwell,227.40,204.30,472.12,0,-179.394,5.213,179.911,-14.60,25.77,147.49,-14.86,-4.13,172.27,54.222,54.686,-19.6535,-1.2782,227.40,204.30,-19.7957,-0.2685,,,0.25718,0
0.1153,1,6,2,0,67.00,648.33,dwell,199.04,208.13,459.58,0,-179.312,5.201,179.855,-14.71,25.80,147.11,-15.17,-4.08,171.90,55.065,55.425,-19.8493,-2.6875,199.04,208.13,-19.8188,-1.3404,,,0.25378,0
0.2147,1,6,2,0,67.00,648.33,dwell,179.92,173.61,487.97,0,-179.275,5.253,179.901,-13.86,25.39,146.60,-14.17,-4.41,171.49,55.218,55.434,-18.3945,-3.2855,179.92,173.61,-19.1965,-2.2088,,,0.25896,0
0.3142,1,6,2,0,67.00,648.33,dwell,206.30,128.98,537.71,0,-179.274,5.207,179.884,-14.45,25.57,147.32,-14.81,-4.34,172.09,55.096,55.417,-16.6040,-2.2311,206.30,128.98,-18.0389,-2.2186,,,0.26357,0
0.4162,1,6,2,0,67.00,648.33,dwell,187.28,163.40,499.63,0,-179.285,5.230,179.880,-14.42,25.19,146.61,-14.75,-4.65,171.45,54.974,55.313,-17.9049,-3.1369,187.28,163.40,-17.9792,-2.6278,,,0.25744,0
0.5248,1,6,2,0,67.00,648.33,dwell,174.82,269.54,393.84,0,-179.210,5.337,179.878,-14.22,25.30,148.03,-14.64,-4.42,173.02,54.235,54.413,-22.0594,-3.6334,174.82,269.54,-19.7768,-3.0701,,,0.24731,0
0.6137,1,6,2,0,67.00,648.33,dwell,88.13,661.62,24.97,1,-179.164,5.698,179.862,-13.96,26.23,148.92,-14.41,-3.11,174.36,54.056,54.578,-36.3694,-7.1690,88.13,661.62,-28.0923,-4.9175,,,0.20386,0
0.7141,1,6,2,0,67.00,648.33,dwell,70.40,635.93,12.86,1,-178.979,5.936,179.770,-14.31,26.39,149.48,-15.05,-2.96,174.90,53.694,54.402,-35.5861,-8.2600,70.40,635.93,-31.9037,-6.4608,,,0.21359,0
0.8185,1,6,2,0,67.00,648.33,dwell,80.21,643.33,14.12,1,-178.891,6.117,179.723,-14.18,26.23,148.80,-14.86,-3.09,174.26,54.317,55.177,-35.8099,-7.7844,80.21,643.33,-33.8530,-7.0682,,,0.20739,0
0.9191,1,6,2,0,67.00,648.33,dwell,38.67,701.45,60.20,1,-179.227,6.161,179.661,-13.87,26.24,147.71,-14.15,-3.17,173.06,54.676,55.161,-37.5724,-9.7218,38.67,701.45,-35.6751,-8.2906,,,0.20141,0
