t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
0.0400,1,8,2,2,335.00,648.33,dwell,237.26,283.22,377.97,0,179.771,4.219,179.790,-13.47,25.80,145.10,-13.38,-3.85,169.96,55.468,56.265,-23.4793,0.1678,237.26,283.22,-23.4793,0.1678,,,0.24991,0
0.1388,1,8,2,2,335.00,648.33,dwell,236.32,253.39,407.08,0,-179.955,4.175,-179.957,-13.58,25.84,145.14,-13.63,-3.67,169.78,56.255,55.337,-21.4997,-1.1885,236.32,253.39,-22.0798,-0.7187,,,0.24267,0
0.2402,1,8,2,2,335.00,648.33,dwell,225.29,282.23,382.19,0,179.340,4.365,179.170,-13.43,25.86,145.00,-13.48,-3.68,170.00,56.835,55.655,-22.9343,-1.6451,225.29,282.23,-22.5232,-1.3621,,,0.26753,0
0.3403,1,8,2,2,335.00,648.33,dwell,270.28,306.45,347.96,0,179.860,4.431,179.804,-13.44,25.91,145.19,-13.52,-3.56,170.02,56.015,56.513,-23.4554,0.6710,270.28,306.45,-23.0597,-0.1211,,,0.26754,0
0.4428,1,8,2,2,335.00,648.33,dwell,269.54,425.41,232.33,0,179.930,4.551,179.655,-13.52,25.97,145.12,-13.54,-3.49,169.84,55.631,56.336,-27.6982,0.6412,269.54,425.41,-26.9431,0.3815,,,0.25723,0
0.5425,1,8,2,2,335.00,648.33,dwell,291.45,417.38,235.02,0,179.530,4.612,179.583,-13.48,26.05,145.09,-13.45,-3.54,170.06,56.118,55.568,-26.7491,1.8894,291.45,417.38,-26.7953,1.4845,,,0.26504,0
0.6386,1,8,2,2,335.00,648.33,dwell,295.28,444.09,208.07,0,-179.742,4.604,179.418,-13.54,26.08,144.80,-13.56,-3.30,169.43,56.024,56.203,-28.7309,2.0326,295.28,444.09,-28.3276,1.8697,,,0.26775,0
0.7366,1,8,2,2,335.00,648.33,dwell,298.44,492.54,160.02,0,-179.982,4.563,179.633,-13.56,25.99,144.60,-13.45,-3.56,169.15,56.543,56.473,-29.5666,1.5185,298.44,492.54,-29.3040,1.6601,,,0.29068,0
0.8372,1,8,2,2,335.00,648.33,dwell,277.47,523.56,137.40,1,-179.860,4.601,178.785,-13.57,26.00,144.47,-13.70,-3.53,168.86,55.220,56.574,-31.2660,1.0546,277.47,523.56,-30.8960,1.3894,,,0.28153,0
0.9355,1,8,2,2,335.00,648.33,dwell,291.05,526.35,129.66,1,-179.737,4.644,179.738,-13.58,25.98,144.57,-13.75,-3.51,169.00,55.950,54.959,-31.7388,0.5240,291.05,526.35,-31.5552,0.8704,,,0.26101,0
1.0369,1,8,2,2,335.00,648.33,capture,336.34,524.64,123.70,1,179.594,4.530,179.515,-13.60,25.94,144.64,-13.59,-3.69,169.41,55.514,56.686,-30.9435,3.1117,336.34,524.64,-31.1450,2.4125,,,0.27385,0
1.1334,1,8,2,2,335.00,648.33,capture,341.38,546.55,101.98,1,179.856,4.429,179.793,-13.67,25.96,144.90,-13.69,-3.49,169.37,55.345,55.887,-31.6806,4.5557,341.38,546.55,-31.4975,4.0642,,,0.27967,0
1.2336,1,8,2,2,335.00,648.33,capture,323.42,539.48,109.47,1,-179.964,4.419,179.665,-13.57,26.01,144.80,-13.64,-3.50,169.35,55.488,56.260,-31.7450,3.8151,323.42,539.48,-31.6543,3.8924,,,0.27431,0
1.3328,1,8,2,2,335.00,648.33,capture,330.05,554.56,93.90,1,179.852,4.696,178.952,-13.66,26.03,144.72,-13.74,-3.52,169.56,55.859,57.085,-32.1016,4.1777,330.05,554.56,-31.9371,4.0788,,,0.27469,0
1.4335,1,8,2,2,335.00,648.33,capture,321.26,591.07,58.89,1,-179.565,4.570,179.179,-13.59,26.03,144.83,-13.57,-3.47,169.52,56.372,56.894,-33.3773,3.2827,321.26,591.07,-32.9762,3.7283,,,0.26590,0
1.5321,1,8,2,2,335.00,648.33,capture,330.03,616.90,31.82,1,179.680,4.593,-179.914,-13.56,26.00,144.61,-13.71,-3.35,169.18,56.182,55.394,-35.5492,3.2455,330.03,616.90,-35.0362,3.4718,,,0.26343,0
1.6337,1,8,2,2,335.00,648.33,capture,335.06,624.64,23.69,1,179.574,4.559,179.901,-13.50,25.99,145.11,-13.47,-3.46,169.99,56.242,56.811,-34.9976,4.3737,335.06,624.64,-35.0078,3.9805,,,0.27498,0
1.7327,1,8,2,2,335.00,648.33,capture,324.20,582.18,67.03,1,179.213,4.482,179.464,-13.52,25.91,145.35,-13.53,-3.56,170.48,55.560,55.450,-33.4445,4.3319,324.20,582.18,-34.2901,4.1830,,,0.26632,0
1.8299,1,8,2,2,335.00,648.33,capture,332.45,569.23,79.14,1,179.054,4.483,179.118,-13.49,25.84,145.58,-13.62,-3.53,170.24,55.810,56.679,-33.5042,4.7377,332.45,569.23,-33.8249,4.5218,,,0.28113,0
1.9282,1,8,2,2,335.00,648.33,capture,291.65,608.00,59.21,1,179.632,4.480,178.862,-13.58,25.82,146.16,-13.57,-3.80,171.31,55.637,55.942,-34.4584,2.3408,291.65,608.00,-34.1112,3.0560,,,0.29200,0
2.0276,1,8,2,2,335.00,648.33,capture,326.78,594.07,54.88,1,179.614,4.334,179.632,-13.56,25.84,146.30,-13.55,-3.62,171.38,54.931,55.736,-34.3941,2.4905,326.78,594.07,-34.2554,2.6764,,,0.28795,0
2.1305,1,8,2,2,335.00,648.33,capture,325.84,588.16,60.87,1,179.847,4.220,178.918,-13.50,25.86,146.24,-13.58,-3.82,171.49,55.261,54.676,-34.1083,3.0403,325.84,588.16,-34.1886,2.8803,,,0.28106,0
2.2307,1,8,2,2,335.00,648.33,capture,349.91,609.97,41.16,1,179.457,4.185,179.755,-13.44,25.85,145.84,-13.53,-3.63,170.62,54.977,56.343,-34.2915,3.9732,349.91,609.97,-34.2367,3.5152,,,0.27967,0
2.3277,1,8,2,2,335.00,648.33,capture,338.87,613.25,35.30,1,179.418,4.265,179.306,-13.48,25.87,146.20,-13.48,-3.51,171.03,55.181,55.917,-35.0837,4.2668,338.87,613.25,-34.7462,3.9921,,,0.27260,0
2.4274,1,8,2,2,335.00,648.33,capture,301.39,574.90,80.76,1,-179.964,4.105,179.308,-13.49,25.90,146.63,-13.65,-3.46,171.72,55.266,55.159,-32.6140,0.9460,301.39,574.90,-33.3094,1.7700,,,0.27154,0
2.5291,1,8,2,2,335.00,648.33,capture,320.35,599.17,51.30,1,179.339,4.115,179.320,-13.37,25.90,146.74,-13.28,-3.79,171.84,53.526,55.776,-35.1094,3.0828,320.35,599.17,-34.3872,2.3738,,,0.27792,0
2.6319,1,8,2,2,335.00,648.33,capture,328.79,614.48,34.42,1,179.988,4.049,179.421,-13.38,25.85,146.88,-13.32,-3.73,172.00,54.626,55.817,-34.3904,3.4221,328.79,614.48,-34.3890,3.0232,,,0.28734,0
2.7319,1,8,2,2,335.00,648.33,capture,337.76,602.75,45.66,1,-179.785,4.022,179.909,-13.27,25.80,146.57,-13.18,-3.75,171.83,54.567,55.449,-35.1255,3.3200,337.76,602.75,-34.8472,3.2020,,,0.27731,0
2.8303,1,8,2,2,335.00,648.33,capture,333.14,620.06,28.33,1,-179.850,4.098,179.253,-13.35,25.84,146.93,-13.31,-3.83,172.04,54.547,54.762,-34.7728,3.5803,333.14,620.06,-34.8063,3.4303,,,0.25232,0
2.9316,1,8,2,2,335.00,648.33,capture,334.64,566.54,81.79,1,179.375,4.249,179.498,-13.34,25.84,146.44,-13.37,-3.80,171.67,54.483,54.915,-33.3375,4.4218,334.64,566.54,-33.8779,4.1023,,,0.24783,0
3.0340,2,7,2,1,201.00,648.33,dwell,330.14,603.51,136.70,0,179.466,4.317,179.398,-13.24,25.82,146.72,-13.21,-3.82,171.88,54.697,53.851,-34.3736,3.4683,330.14,603.51,-34.1171,3.7775,,,0.24095,0
3.1326,2,7,2,1,201.00,648.33,dwell,329.07,573.90,148.13,0,179.822,4.321,179.158,-13.30,25.78,146.71,-13.31,-3.60,171.73,54.060,54.261,-33.0337,3.0916,329.07,573.90,-33.4277,3.4099,,,0.22706,0
3.2307,2,7,2,1,201.00,648.33,dwell,308.19,606.27,115.15,0,-179.868,4.410,179.770,-13.36,25.73,146.78,-13.30,-3.87,171.80,54.401,56.427,-35.3489,2.8894,308.19,606.27,-34.6454,3.1036,,,0.21974,0
